Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
Do you want to help me here?,to yo uwant to helpm  ehere,t oy ouwam dm e dohelp yougetu   bthele,ifyou me ednyhel pimh e l  ef oryou,Alternative1
I wonder how long Tom will stay there.,iwo n d er howlo ngdomwi rrz taythere  doezanyom ek mow wh entom i scomimk,howmuchno red inedo  youd  hinktomw i  llne ed do todhat,,Alternative2
How much ice cream do you want?,we ztobfori cecleam how muc hi cecre amd  oyouwamt,ydon t,c o ul dyouge dmeso mei cewatel,Alternative3
They're demanding that I be quiet.,theyre de nandi  mgthati bequi ed,,dh eytoldmed hey we re zhy,Alternative1
Yanni is Muslim and he was raised religious.,ya nmi ismuslima ndhewasl a  isedre ligio,ya mniwor ketw ith amusl imwoman,us,Alternative1
I've been in court all day., m inc ou lta lrday,ivebee,i mworm o u tfromho e ingim  thevegetapr egartemarlda y,Alternative1
They entered into conversation.,dhe yender edindocon v  erzation,the yrechadting,,Alternative1
"Felix lifted the window and looked out, but couldn't see anything.",dowamd  loog edout budc o uldndseean ything,felixli ft etth ewim,onhizwaypa cgve lixh ear tastra n g emo ise,Alternative3
Can I hear your comments about this?,ihe  alyourcomnen ds  aboutthiz  canwet alkh e re,c am,,Alternative1
I don't like you enough to marry you.,t rigeyouemought o marryy ou,i d om,ihaf em ad eav owneve rto  gedma lriet,Alternative3
"Tom came into the lunchroom, looking for Mary.",tonca  ne i nt odhelumchr oom r ookingfornary,,d om hasas gedn alyto comeo ver fortin  nertonight,Alternative1
Tom lives a quiet life.,do mr ive saquiet life  t omi,t omis lig elytostil l be alife,saferyqu ietmeig hbor,Alternative3
Brains are weird.,blai nsa rewei  lt,dhes epeoble ar ezo weird,,Alternative1
Tom said that he was innocent.,athewas sd umned toms ai dthat hewas ,tom said th, inmocent,Alternative1
He fights all the time., es dohavehis owmway h e fi khtz alldhedime,ztri,h eofd en dloppe t inonme,Alternative3
Ziri's parents were found.,zil izb alent swerefoumd,zir iwast hingi  ngab outhizparemds,sir iexploredthec a fe,Alternative1
We pay the rent.,paid we p ayd helemt,y,iop ject eddobayi  nkdhebi ll,Alternative1
Which are the favorite questions?,whicha rethevafo rid eques dionz,can iazg aq uestio n,youmu st answerdhezequesti ons ,Alternative1
I want everything that's not working fixed.,iwa ntevel ythingdhat  snotw or kimgfixed  i don twan d to cutamyt,nod ev elythi  mgyoudryworgz,hing,Alternative2
I'm from Sapporo.,i mfr ons appolo,,ili fe imri ga,Alternative1
The music stopped abruptly.,t hemusi csdobbedabluptl y,apprausebrokeo u t,wouldyo um inttur mingtowm then usic ,Alternative1
Tom knows that I'm divorced.,k mowstha tindivor cet  ikm,to n,o wtonr i kezme,Alternative1
You should've changed your mind.,ush ouldvec han get yourmimd  i vecha mgedmymimda,yo,ka im,Alternative1
"Will you pass me the salt, please?",w illyoupaszm edhe sa,ledmebaz sb rea se,  lt bleaze,Alternative1
You know it's going to be hard to do.,y ou gno  wid  sgoi nktobeh ardtodo  iknowy,weknow t had itwo ntcom e easy,ou w ol khald,Alternative1
I'm not the one who caused the accident.,ottheo newh  ocaus ettheacc  ident  ithouk hdthati twa,im n,s ana cciden t,Alternative1
My mother's father is my grandfather.,nymo dh er sfatherizmygramdf a ther,ma ryizmymoth elinla w,my na  d elmalkla ndmothelwaso  neoftheg lea desdw om eni veev elgmowninnyl ife,Alternative1
Tom will be ready to do that by tomorrow.,a  dydod o tha dpytonorlow  to mwi ll bepuzy,tonwil r p ele,a tdhiz timeto norrow,Alternative1
She is a Muslim convert.,in zh eisam usl im,he rbiologicarfath elism usl,co mverd,Alternative2
What time does the mailman come?,d d inetoesthemai lmamc one  whatt ime ale youg edd,wh a,imguptonol row,Alternative3
I met them in Boston.,iwas inv itet toposton im etthem imbos  do,,n,Alternative3
Are you on a budget?,afezavi ngzt ofal lpack om al e you om ,to youh,abudget,Alternative2
Eradicating poverty must be our main goal.,er atic atingboferdy musd beour  maimgoal,hi saim  inlif ei  sdosave momey,wem eet dogedbacgt ot heb  as ics,Alternative1
I wish that you could be here with me right now.,nt yo u toc omehonen ow iwi zht h at youcour  dbehe r ewi thme rightnow,iwa,i tol tyo utom  eed mehere,Alternative3
Damiano boarded a bus., opoarted abus  domda gesa bu st,da nian,ohiz ovvice,Alternative1
I often drink tea.,dr inkar ot ovwatel iofdem tri mkde a,ys,t had teai s pipinghot,Alternative3
Wipe your eyes.,oseyo urbledtyey e s wipeyou r eyez,cl,bl ushyou rselvovf,Alternative3
They told me they were shy.,theyd oldneth ey we l eshy,theys ait theywereumi nble zsed,dhe yt ordm etheywe ree ally,Alternative3
He devoured an entire box of chocolates.,sonab ox ofcandywhi c hhe ob e nedhappiry hed evo u redanen tireboxofcho corades ,ik ave my,to mbough tabox ofco o k ies fornary,Alternative3
He bought her flowers.,heboughdhel fr owe rz,sheb o ukhd himado k,hebou gh tzomefo od vol her,Alternative1
I'm happy that you're happy.,eyouhappy imhap pytha tyou leha ,i wan t tom ak,ppy,Alternative1
"Tom is back early, isn't he?",t oni s packearl yis ndhe ,to mi  son hisw ayhome izn the, tomisq,Alternative2
Sami wanted help with video editing.,miwande dhe lpw ith vide oediting,sa,zanih as to ledo t hisviteo,Alternative1
Why don't we stop for ice cream?,howm uchi ce crean do youwamt w hyt on tw ezdob ,,voli cecleam,Alternative1
Tom told Mary that she should stop pretending to be terrified.,ho u ldstoppr etendi ngtob e suzpicious tomtol dmaryt had shezh o uldztoppl ete nt  inktopetel rivied,z,tomd old na r ydhatshe zhouldqu  itblede ntin gdo pepoor,Alternative3
I would have said it some other way., afe zaidi d som eodherway  itsv un nyyou s houldsayz o,iw oul dh,,Alternative1
Ziri gave the medlars another couple of weeks to blet.,arsanothelcoup  leofw eeksdob let  zirizpi rt ht ayve ll dulimgaweegday,zir ig ave dh eme dl,,Alternative1
"We first spoke English, but then it turned out that Tom came from Austria, and we started talking German.",t omsaith es diledofkerna nicr an kuakes w evir st zpokeen glish   butdhem itd urnedout thattomc a nef rom au stria andw e ztartedtarkinggerman,,t om  arread yzp eakzfl enchbet terdha nispeakemglish,Alternative1
Nobody forgets my country.,nobod yv olkedsmy country,imiz smyhom eto wn,iha rt ly lemenbelm ydream,Alternative3
Around 30% increase in power seen in in-house comparisons with previous model.,a r ou nd30  incleazeimpowerseenini mh ous ecomba rizonzwit hp re viousmodel,,s guraloz t30gilog ramz,Alternative1
This is your one chance.,t hisis y our one chance,,youruck y tevir,Alternative1
Sami winked at me.,saniwi nged atm e  z ami dookn edow ntheh ar,samiazsaulte dm e,l,Alternative2
Things have got very complicated.,thi nksha vegot vel yconblicated  tha tiz averycomp rex,z ometh ing sar edifficulttoum dersdand,m achine,Alternative2
I knew that Tom was different.,ik mewd ha ttomw azdi ffelemt,ik no wdo mizar o dl ig eme,domissomethingd ifv e lent,Alternative1
My mother's calling me.,y moth elkmow ztomsmo dher mynot h erscallin gme,m,my motherzfat her i sny gramdvathel,Alternative3
I like to speak Esperanto to my cat.,ge iligeto speake  zper and od  onycad,ylamgua,i tp lever dotalki n flench,Alternative1
None of us are Canadians., fusa recanad ians  m alysa idshe wazn tacan adian,nom eo,,Alternative2
"Indeed, computers are destructive.",inteedconb uter sal  e destrucdive,a comb uder izanabzolut  emecessid ymow,,Alternative1
"If science makes progress, we'll be able to solve such problems.",these p loblems if zcien cemakesprogr esz werlbe a bretozo  lve zuc,we vecomeupwiths olut iomz forso meof,hplopl ems,Alternative1
I didn't know Tom would be doing that outside.,id itn  tkmowdonwould  bedoim  gdhadoutsi de  iditnt know ton woult ha veto do,id i dm t kmow t omwourdbehez itamtt  otodhat,th adonhi zown,Alternative2
The prognosis is mild.,thep rokm osi  sismilt,,e xpectationsare low,Alternative1
I'm sure we have enough food for everyone.,w e rearlhungry im su re wehavee  noughvoo dfor ev,,eryone,Alternative1
We didn't notice.,tolteithel w edidmtmoti ce,wew erent,idi dmod se edhez  ign,Alternative3
I got dazzled by oncoming traffic.,i got daz s letbyo nconingtraffic  is awano bstacl ei nthesdlee,iw as  alnosdl unofe   rbyatruck,t,Alternative2
What do you regret not doing?,you rek red motdoing  t ityoud oamyt hingerz e,w hatd o,,Alternative1
My feelings for you haven't changed.,nyf eeli ngsfol youhafent cha nget,id idntwa ntyo  utochang ey o ulplans,ivecha ngedfro mdh ep e rzonion cew az,Alternative2
I'm slightly worried about him.,ims ri ghdr ywor   rietapouthim,h eworr iesabou dher,,Alternative1
Tom and Mary are helping John with something.,t onan  dma ryareherpi nkjoh nw  i thsonedhimk,to mandm aly ale doink  whadd h ey candohelp,,Alternative2
Sami wasn't in there.,wasnot coning sami was ndinthe,sam i,r e,Alternative1
A lorry has jackknifed on the dual carriageway.,rlyhasj ackk mifeto mthet  uarcar riakew ay  thetl uckmade it ofe,alo,lt hehill,Alternative1
The two of them got off the bus and walked a mile in the hot sunshine.,typre athless thed woov dhe mgoto ffthepus am twa   rkedam  ile inthe,ira nfol thebu zantwaz arl ea,  h odsunshine,Alternative1
Is it possible to do that?,is itbos si bred ododh ad,doyoud hi nkdhe resa my c hamcey o  urlbe abled odothat,do y oure allythimkit  spossible,Alternative1
Tom didn't answer any of Mary's questions.,d anzw er amyo vmarysque  ztioms,domditn,tomdid mt az gn ar yforb  erm issiomtododhad,Alternative3
I know Tom won't be doing that.,ikm ow  don wontbed  oingthat  ik,ignowdha tdom wourt mt ag r ee dod othat,n owthat do nwon tme edher ptoingdhad,Alternative1
My father goes to Sydney twice a year on business.,izzerv icest oaw ellknowmt radeco mp any myfathe lg  oesto   sydney twice ay ealonbusiness,h,iwol ge t in aus traliavolthreey ears,Alternative3
He resumed his work after a medical leave.,d takimg his medicine h eresumedhiswo rka  fteran et icalreaf e,hesdobpe,s hep ushet himto qui  thizjop,Alternative3
I can't count the number of times this has happened to me.,ishatn everhabben ed ic a mt co untthem unpero  fti mesdhis hashap  pemetdo,iw is hth,me,Alternative1
How can you get to the station from here?,c a nyougetd odhesd ati om f romhere  h ow t oigedtoyour o ffic e fronhio gapark,how ,,Alternative2
Tom doesn't work here any longer.,todh ewayth ing z wor khere dom to esntworkhe l eanyrong er,tomstirl iznt uset,i didnd kno w tha ddo mwa ssdirl worgimghele,Alternative3
He hurried away.,hehurlie daw ay,h ewazapd ucted,shesl ipped,Alternative2
Thomas is harassing me.,th omasisha las zingne  to nh ,tong eep sb rimkimg metowm,id nehald,Alternative2
Her empathic abilities often leave her drained at the end of a long day.,her emp at  hica bilid  iesovdemre afe herdrainedadt h eendof aromgt ay,z he efemdua lryturm edhelzelfin,she zin the r ipra ryall daylomg,Alternative1
Tokyo is by far the largest city in Japan.,dog yo ispy farthera r gez  tcity injapam  japan vo rthe m osd ,t hereistog yo,pa,Alternative1
I know Tom knows that Mary's not supposed to do that.,ikn owto mgmo w sthat m arysm otzu  pbo sedtodothad ,,ikm ow  tha t domdo e  sntkmo wmal ywantsdodothat,Alternative1
Is she there?,ishe i zsh ethe,hei sm tthere,re,Alternative2
There's a snake in the garden.,they hamdredsna kes th eresa zmak eim thekalt e,,n,Alternative1
Our city suffers from a lack of 24 hour transit service.,can tbe useddur ingr ushho ur ou rc ityzuv v ersfromara c kof2 4ho  urt,thedickedyou bou khd,ramsitzel vice,Alternative1
Please take off your shoes.,p leasedakeo ffy ou rshoes  b le as epulldownthep lints,youshoul da v oidwealingwe tshoe z,,Alternative2
I don't think that Tom has to decide today.,stertay ido n dt  hin kthattomhasdo de c idetoday,othadye,tonp lobablyis m tgo imgtoto tha ddhiza ft ernoom,Alternative3
Mennad had to speak on stage.,m ennad hadt osbe ,nenmadzhouldmd hafefollo we d dha tmam,akonzda ke,Alternative2
Tom's school has a zero-tolerance policy.,retv rom sch oorforf ighdink domss cho olhasaserotorera n ceb oricy,tomgot ex bel,to mn eedsdogetpa ckto s chool ,Alternative3
You're the most wonderful person I've ever met.,inmyli ve you ledhemo stwonde  r fulpe,you ar edheno sdim pol dand person,r zonif eefermed,Alternative1
"According to you, which sport is the most popular one in Japan?",acc oldingto youwh ichsport is th en ost p obur aroneinja ban,noothe lspo rtim b l azilisaz popural  azfootba ll,whatsyou lf avo liteanine,Alternative1
I had no real idea what it looked like.,ih atnor ea l i dea whatitloo  k edlike,i dondkm owwh ath izreal intent io mswere,,Alternative1
I'll buy you a new one.,usdlig eid il lb uyyo ua newo ne,i llp uyy ouon ej,i bou khtanewha n dpag,Alternative3
What do you like to do when you are not studying?,yo urik etodow henyouare mtzd u dyimg w hatdoyou lik etot ow he myo u ar enots,w ha tdo,tud ying,Alternative1
My dream is to study Lithuanian in Vilnius., ostudylidh   uami aninvilmius  guezswh at imgo i,mytr ea mizt,mgtone ws eal andt ostudy,Alternative1
"If I die today, I'll haunt you every minute of your life.",ayi rrha umtyoue ver ym i mut eovyou rrive  il ofe yo,iv idieto t ,udod eathgilr,Alternative1
He was also there.,he wasarsothe  re  hew aztoom ed,hewe nt,,Alternative2
Our training is hard.,ched uleis pret dytighd ourtr a inim kishard,our s,we leface dwid h adifficultzituati on,Alternative3
But why do you spend money for this nonsense?,whya reyoubei mksoo bsti nate bu twhyd oyou spe ntnon eyf oldhi s momzense,,w hyd idyo upoz tdhiz,Alternative3
"Don't take this the wrong way, but you're just not my type.",donttage dh izdhe wr omgw ay butyou r ej usd modm ytybe,i mmot ton sdype andh esnot  myty pe,yo uar em otatal l wrong,Alternative1
I put on a hat because it was too sunny.,iput onah atb ec  au zei dwa  stoo z unny,ishoul th avet ageno vfmyh  at,,Alternative1
Do not disturb my circles!,d onot tizdur bmycilcr es,dond thro wd irtclods,stop in zuldingme,Alternative1
Am I not funny?,a min ot funny  a,dont yo udhi n kthatitslathelv um my,mib eingzacke d,Alternative3
Is your gun loaded?,isyo urgunl oad ed  is,hav eyou kif e ntomagu n,you rs,Alternative1
Maybe Tom doesn't know that Mary was the one who did that.,maybe do  ndo ezn tk nowth atm arywas dheonew ho t  idthat,ignowdomk now s that nary znotsup  po zedtod o thad,,Alternative1
I'll never forget the first time Tom and I did that.,n  ever folkedthef ilz ttime  tomamti tidt had  donamd ih,i ll,afen efel donedh a tbefore,Alternative1
Tom took part in the race.,okpar ti mt herace  do misafierc,to n to,eco npe titor,Alternative1
Sami didn't like that job.,zamid idndliket h adj ob  s amin eve rwamd,samidoe sm t w amt dog otowork,e ddobe,Alternative2
Tom doesn't want to learn how to do that.,w  an dtolea rmhowto tot hat  domdoesn th,to mtoesn d,av et hemeam sdodot had,Alternative1
You can do a lot better than that.,toal  otped derth ant hat  we r ltotheb est wecam,you ca n,,Alternative1
Now she'll be thinking all night about what he said.,ayw hatshew as bra n nimgtod o dhisevemink mows he ll  bethin kimgarl   nikhtaboutwha thesaid,di dmarys,dhats allhe dhi nksabo ut,Alternative3
I can't believe you did this!,icamdbe liev eyou tid dh iz,youdo ntpeli ev ei di dd hadd oyou,ima fra idd ha tyoucamt dot had,Alternative3
Tom had a rifle.,iventon agun t om hat arifre,k ,tomsaw the gun man p urlthetrig kel,Alternative1
Do you want me to go or not?,nt medo go or not  ar eyo usu,toyo uw  a,re youdo n twan tdoc omew ithme,Alternative1
Tom and Mary are doing what they can to help.,don antmar y aredoin gw hadt he y  ,domamdma lytold us d hey  cour therp,camdohelp,Alternative2
I've never really been close to anyone.,ifenev erreall ybee  nclo zedoa nyone,we mever acdu alrymed,i m kl  admoome isaroumt,Alternative1
Tom and Mary said they like the sound of that.,andnarys aid t hey rike the zoun dovdha t  to nandn ary,tom ,zaitth at dheywe re oferwhermed,Alternative1
We know what we're up against.,we kno wwhadwe reu b a  gaimzd,wegn owhowi t sda rted,,Alternative1
Tom said that Mary has been forgiven.,ew assol ry t omsaidd hat malyhasbe en fo r,tomcal le d na lydot elrhelh,gifen,Alternative1
I guess I could get a job there.,ogetth atj ob ik uesz icou  rdget a jopth ere,hin kt ,i mnodsu reiw  antthe j ob,Alternative3
You can't be hungry. You had a snack a few minutes ago.,youcan dp eh umg ryyo  u ha d a snackavewminud  e sago,m aypeyouzhould nteadth  at,,Alternative1
All three of them were in love with the same girl.,h reeo fth enw  ere iml of e withdhes amegilr  theyarea ll alike,allt,,Alternative1
"You aren't scared, are you?",youare mt scar et areyou ,ar ey ouaf laidofge tti mghuld, yo u,Alternative2
Environmental and roadway factors can also contribute to single-vehicle crashes.,oatwayfacto rscanals ocontlibu detozin klevehic lecrashez  m odor cycle sarekreat dheyc anea sil y get,e nviromm enta lan dr,throukheveninhea vytraffic,Alternative1
Algeria doesn't agree to normalize relations with Israel.,argeliado esn tag reet onormaliserer adio nzwidhis ra  el,a rge liadoezm texistinis oration,,Alternative1
"You were finished doing that by 2:30, weren't you?",imi shetdoin g that py 230 w erendyou,youwerev ,hav eyo ure  alrymod ye tdonedhat,Alternative1
"Apart from schoolwork, I write poetry.",apar tf lo nschoolworkiwrite p oedry  ico mtinuedw liding,as asdud enthe wro tep oems,,Alternative2
Mary doesn't know I don't like her.,nar ydoezn tknow i domtl ikeh,m arytoes m dgnowzhe sadopted, er,Alternative2
He says he's still hungry.,he sa yshe  zzdillhungry  s he saidshei s mds,hes aidhe zno  dsleeb yyet,leeb yyet,Alternative2
There is no knowing what will happen tomorrow.,eism ognowinkwh atwilr hap pendomor row  i tidnt gm o wwh a twasgoin gtohabben,dhe r ,,Alternative1
She lives near him.,shelive sm earh im  il i,lay lar ivednealpy, ve,Alternative2
I'm still in uniform.,rlimumiv orm  i,i m zdi,am linpimg along,Alternative3
Granada is my favourite city.,sisan awesomeci ty glanata isny favo,al kier,u litec ity,Alternative1
Do you have an extra blanket?,oy ouha vea n extr aplanged,t,t oyou h afea ritd le smarlerome,Alternative1
Mary hates her job.,r yh atezher job  nalytidnttel lto nshe tidn tl,ma,ik e heljob,Alternative3
He is dead to me.,bo dyhasdiet h ei sd  eattome,zo me,hewaz doo ned,Alternative3
The peak of the mountain is covered in snow in winter.,eledwith snowi nwi nter t he pe akof d hemoun dainis coveretin snowinwim,mt fu jii scov,t  er,Alternative1
I love hamburgers.,h anbulg ers  il ikedos ma ck,irove,,Alternative1
I haven't bought a Christmas present for you yet.,ih a ven tpou ghd achri stmaz plezendvoly ouyet  i dondbelievedha,idi dndpuy ev elyt hing you asgetm etop uy, dsa n t,Alternative2
Do you have any idea where this picture might've been taken?,doyouh afe a myid eawhelet hisbicture mi gh t vebeem tagen  ivezeenthesepic ture s be vole,isd hisyoulpi ctu re,,Alternative1
She wore a simple dress.,asi mb  ledress  she wassn altlydres,zhewor e,zed,Alternative1
"Nobody knew where those kids came from, but nobody wanted to receive them for fear of their disease.",nobody kme w wh eret hosekidsca m evlo mbu tnopody wante dtorece ivethem fo rfealo vdh,theysaidthe yd idmd k n o wamybotyhere,e irti seaze,Alternative1
The officer charged me with driving 80 kilometers an hour.,dheoffic e lch a  rgetnewithdli ving80k ilomete  rsa nhoul,ap o liceca lp ulletub,,Alternative1
I stayed up late.,ffo r awhile iz da yedu plade,i tosed ov,i was bolnla de,Alternative3
The police suspect that Tom was murdered.,thepo li cesuz pectt hatto mwasnurt er ed,,the p olice  pelief  etonandmaryw ereinv ol vedi nthemurder,Alternative1
Leonid failed to attract investors.,le omidfaireddoa ttractimv ezdo rs,reomidlescuedthe wor g erz,leon i ttooktheri kht decizion,Alternative1
Tom planted barberry bushes against his back fence.,nthetr eeth a twasimoul flon tyard tombr anded parp er rybuzheza g ains,to n chobbe dtow,this backvence,Alternative1
Mennad enrolled in college.,w ereinco llege men na demrorledincolle g,,e,Alternative1
You're the only one who doesn't have an umbrella.,y oule theon lyo  new hodoesnthafeam u nb lella,,youtom t have dogo  tothetrouple  ofgeddin g an unble lla,Alternative1
What kind of briefcase do you want me to buy for you?,wha tk in dof bri ef  ca zedo youwa  ntnetobu yforyou,,t erlmewh  atyo uwam ti ll  getitfo ryou,Alternative1
Mary was grateful that he had changed the subject.,malywas gra defulthad he h adchangetthe su  p,mal ysa itzh ewasgrateful ,ject,Alternative1
I tried to stay busy.,itlie tt o sd ayp uzy,,t rytos do bme,Alternative1
Tom doesn't have enough money to buy a motorized wheelchair.,tom d oesn t h afeenou  ghmome ytobuyanotoliz,i mp  ledtysuletomca ntavf o ldit,edwh eelchair,Alternative1
Lorenzo got back to his seat.,sog ot bac gto hiz seat,loren,ir e dur nedtomyzeat ,Alternative1
It's all automated.,dh ey didthatarl dhemse lfes i dzarrautomaded,, ,Alternative3
Tom may be eating now.,tomnaypeeat in gm,t omi splob ab lybuzymow,  ow,Alternative2
Layla died trying to find water.,dt r y ingtovindwater  l aylawasro o gingv orlove on theindern,lay rad ie,et,Alternative2
Do you know why Tom doesn't trust you?,toe zmttontl u stus toyou k mow wh ydomd oesn  t,,trustyou,Alternative1
Tom didn't do that again.,d omdi dntdot hatagai m,tonditi tag ai m,d om swe alshehasm tdo n etha tmore thamonce,Alternative1
This is my city now.,thi sismyc i dy now  vro m herew esee ,il ivein then e albyci dy,dhec,Alternative2
It's obvious that you like him.,hebrobabl yli gez you itso pvi ou sthat youli keh,,im,Alternative1
Tom said that he was ready.,toms ai tth at  hewa sready,,tomis leat y,Alternative1
I don't really enjoy doing that as much as I used to.,i domtlear lyenj oyt oin g  that a s much asiusedto  ilealry do mtd othata my,itom dle all yliget oin gdh izgimd  ovthimk,nore,Alternative2
I'd be willing to do anything to get that job.,iguez si coul tg ed ajobt here i db ewillimg dotoanydhim  ktok ed d,,h a tjob,Alternative1
Tom told me he's just done that.,l dmehezjuz  ddo m edhat  dom wa zdol dt hadh,do mdo,ene edz tododhat,Alternative1
Tom is pretty near finished.,tomisp rettynear fin izhe   t,toni zcloset o de ath,,Alternative1
Tom drops by every once in a while.,t omtr  ob spye v eryomcei nawhire,don geepzu bw  itht hetinez,to mroogztir eda lr th etime,Alternative1
I can resist everything but temptation.,icanlesi zdefelyt h ingbu t,i rltoevery th img i cantop  rotectyou,tenbtat ion,Alternative2
I know that Tom doesn't know why I never wanted to do that.,ndo dodhad ik no w tha tt on doezm tk nowwh yinev elwanted  tototha,ignowt om t idmtk now why youwa m tethi,t,Alternative1
He's tall as hell.,tallazh ell  sh,h e s,ewa sahe atta lre rt hanhim,Alternative1
Are you a photographer?,e youabhotoglaph er ,al,is thi syou lbicture,Alternative3
Let me open the door for you.,m eop emt  h edoorf olyou,let,you lfrom t gateiso ben,Alternative1
Even Tom was surprised to hear that.,ibet tomwass u rprise t eve nd onwa zsu lprizedd o,,heart hat,Alternative1
I haven't yet done what I was supposed to do.,ihav endyet do newh a t iwasz  ubpoze ttoto,immod doinga nythim gcu rrendly,atthad tin e ididn ty edknowexa c try wha ti shourdd o,Alternative1
Something might be going on here.,nig htpego ing onhere  som edh,so m edhing,ingpad zgo ingto h abpenican veelit,Alternative3
Sami is staying with me this afternoon.,s a miisst ay im khonewithme za miis ztay ingwithme dhiza fter,,n oon,Alternative1
She put money in his hand.,zh eputm omeyin hi sha mt  igav eh inwha d no meyihat,s hezi knedofe rth emoneyto herd au khtel,,Alternative2
She wouldn't have been able to get her homework done if he hadn't helped her.,shewou ltn thavebee nable  tog  edhe lho meworgtonei f h e  ha,shesa idsh ewou  ld mtherpne,dndhe lbedher,Alternative1
Where did he get that much money?,w here titheke dd hadnuc hmom ey  h ow much d idy,ho w muchn oneyto eshebo zsesz,o,Alternative2
Yanni wants to stop cheating.,yamm iwasten bt ett ospeet yanniw amd ztozt obcheati ng,,yamniis q uitdinktomor row,Alternative3
I think there's some real potential here.,i dhi nkdher ezzomeleal boten dialhe re,budth epodem tial isthe le,it hinkd her eizr ittrebrobab ility ofhis s ucceeti ng imth eenderbrise,Alternative1
I usually have to change my clothes two or three times a day during the hot summer in Nagoya.,iu suarl yha vetoc  hange nycroth e st wooldhr e  etimez ada yturing the hodz umme rimnakoya,idom dofte mpu y exbemsivecloth ez,i dom  twe arbajamasint h esummel,Alternative1
"He eats quickly, doesn't he?",heeat squ icgry  doezmthe  ma ryiza f az deate,he izm tko ingto eat,r,Alternative2
It was depressing to watch.,idwazte blez sinktowa tc h,,zhelook ets a tbec auseiw a samgry,Alternative1
That's why you should do that., adzwh yy oushoulddod h at  th at swhyi mgifi ngitd oy ou,dh,,Alternative1
Tom wanted to go out with Mary even more than you did., mwan t etto kooutw ithmar  yev enno redhamyo  udid,to,dom pl ea dedwidhn ar  ynottoleave,Alternative1
Take care of my dog for me.,d a kecareofmyd   o kforme,a dogfo rr owedm etomyh ouze ,releaseth et og,Alternative1
Mary put her clothes in the suitcase.,u thel crodhes indhes ui tc ase  m al,malyp,yztartettod a keovfherja cg ed,Alternative1
Fyodor claimed his innocence.,fyodorcra imedhi sinmoce n,fa til start e ttobragaboudhiz rob peliez,ce,Alternative1
Tom may be unbiased.,t omma y beumbiaset  tomm,tomiz rigely  tobeb iased ,aybedicg l ish,Alternative1
Jack Dorsey hates me.,cgt orzeyha tes me  ihadeb oli ticiamz,ja,,Alternative1
Yanni was terrified of going to that store.,ya nniwast elriv ie tofgoi ng  to thadsto re,yanmi shoult ndgothe re,,Alternative1
"It is the wilderness in the mind, the desert wastes in the heart through which one wanders lost and a stranger. When one is a stranger to oneself then one is estranged from others too. If one is out of touch with oneself, then one cannot touch others.", elmessi nt  hemindthed  ese l dwazdezi ndheh e ardthloughw   hichonewand erzloz tantazt   ran gelwheno meiz a  strange l toones el f d  henomeiz e sdrangedf ronotherzdooif o ne isou t oft ouch wi th oneserfthenome ca nnodtouchothels  peopr ear ehukgimksdrangerz,itiz thewi rd,,Alternative1
Ziri resigned over that.,zir i res iknedover that,,z iriviolat edhislest laimink order,Alternative1
Few students knew his name.,mgwide lygnowm few sdutemt zk newh i,his nanew azpeco mi,snane,Alternative2
No one wanted to talk about those things.,m oon ewa nt edtotal kaboudtho sedh   inks,itsn otz om eth ingiwamdtod  iscuzz,,Alternative1
Ziri went behind a bush to relieve himself.,ir iwen tbehi nt abush d oleri evehimselv  ziliscaledaw ayd heg azerle,z,,Alternative1
I totally understand.,itot arlyund ers  tand,iwo nd beapledou mde rzda  ndit,,Alternative1
I waited at the gate for an hour.,i wai tet adt heka tef  olanhour ,iwaid ed anho ur, weq,Alternative1
We're not in any danger.,w eremotina n  ytanker  wereapprehemsiv e,we  renodi nta ng erhere areyou,,Alternative2
Tom said that doing that would be too risky.,toms aiddha t do inkth adwo ultb  edoorizky,,id oldt ond had itw  as alizg,Alternative1
You can't bring this in.,yo uca ntw alkawayf ront his youc amtp rim  ,,gthisin,Alternative3
Sami left a tip on the table.,i levt a di pondhetapre  s amiw as ona,s an ,diet,Alternative1
He sometimes goes to Tokyo on business.,he zonedinezgoestoto kyoomb u  sine,toma lliv edindo gyod womon  thsago,sz ,Alternative2
It looks like Tom is going to win.,it rooksr ike tom  i sgoing dowin,ibe tdomwo m d win,tom isbo un dto win,Alternative1
Sami had a right to get vengeance.,fimkashit sa m ihad alightto get fen,sa mi waz ha,g eamce,Alternative1
Go find something useful to do.,gofindso met hi ngusevurd  o do,makesome dh inkup,,Alternative1
I'll get her to stay with you.,lk ed hert o zdayw it hyou  i dkrad ryg o withyou,il,,Alternative1
"Fortunately, Ziri made it home safe.",voltunatery ziri m ade ithomezafe ,zilih adba tlucg ,z iriwa ssoum glatevul,Alternative1
He has weakened.,h ehurr iedaway he hasweake net,,he wastoom ed,Alternative3
Tom needs to get back to school.,t omn ee dsd ogetp acgt oz choor,,tom shou rtbeba  cganys econd,Alternative1
Tom said that Mary was healthy.,dom sa idd hatmarywash ealt hy,toms aidn alyi sv ine,domz ait  th athe  wishedth  atmarywouldeath ea ldhielvoot,Alternative1
Sami's parents got home.,wendback toh i zhouse sa miz palents,sami,kodhon e,Alternative1
"I've never done that, not even once.",ive ne verd onedhatn otefe   mo mce,ihavem  deve rdon ethat,,Alternative1
